top,bookname,click,info,label,type
67,焚戮纪,1827,"开国公：康儿，你想不想做皇帝？
陈锡康（六岁）：做啊！皇帝多威武，武神剑    
                                 仙美人都得敬畏我！
开国公：康儿，你做不做皇帝？
陈锡康（十二岁）：不做。以一人敌万人，武神剑仙，强汉，太武，还有心有狼虎的槐王，若要称帝，家破人亡，生灵涂炭。
开国公：康儿，你做不做皇帝？
陈锡康（十八岁）：不知道。这天下藏龙卧虎，若要争，烽火与杀戮席卷苍生。可若不争，这天下容得下陈家，容得下西锤五十万开国之师吗？
天发杀机，龙蛇起陆。君臣之间最大的忌讳就是功高盖主，开国公亲生之子却以义子之名告于天下。从小被老爹问的最多的就是要不要当皇帝的陈锡康到底会在乱世之中如何做出抉择？
武斗、文斗、胭脂斗。沐平城、秦武城、长安不夜城。烽火起长安，杀伐与屠戮再起，天下乱！",争霸 搞笑 古典仙侠,武侠·仙侠
68,武侠世界穿穿穿,1804,"你可曾想到风清扬年轻时也曾经激情过？林平之也有侠骨柔情？岳灵珊也能为了黎民百姓奋不顾身？
那大浪淘沙的江湖儿女，到底谁才是真英雄！",热血 爽文 穿越 致敬经典,武侠·仙侠
69,剑开道,1788,"我有一柄正经的仙剑
我应该是一名正经的剑修
这是一个正经的故事
我从天尽头而来
我听说大道三千，道法万千
我只是以剑开道
一剑不行，那就两剑......
『江南小药童出品，必属精品，人品保证，故事精彩，初至纵横，给各位大爷讲个故事，卖艺不卖身，咳咳......』",古典仙侠 热血 异世,武侠·仙侠
70,踏路追仙传,1785,"一朝飞天展宏志，从此意坚踏仙路。
他日我若飞升去，报与天道追长生。
且看一普通山村小子，阴差阳错加入宗门之后，偶然间获得一个紫玉葫芦，是福是祸？
正所谓：一朝踏仙路，自此不回头。
看江天踏上仙路，如何追寻仙道长生，争取机缘。",古典仙侠 生活 热血 爽文,武侠·仙侠
71,天刑纪,1782,"今朝修仙不为仙，只为春色花满园;
来日九星冲牛斗，且看天刑开纪元。
——光明阁vip群：423807160光明阁聊天群：209710200",曳光 无仙 修仙 道士,武侠·仙侠
72,追星逐月,1734,明朝洪武年间，吴王后人沈追星以及“靖海侯”蓝月为朝廷和江湖所不容，二人不甘心接受命运安排，奋起抗争，借助宝藏以及神秘门派的力量战胜敌人，改变了自己的命运，同时也左右了天下大势，成为那个时代的风云人物，上演了一幕幕爱恨情仇的大戏！,热血 推理 养成,武侠·仙侠
73,葬煞纪元,1686,"三尺冷冽，袭天筵寒欲凝，空苍新竹，幽夜咫尺阑珊，只为你，复立乾坤。
        在与镇魂教不断的斗争中，姬煞葬发觉自己所在的这个世界越来越奇怪，似乎被遮蔽了些什么，似乎又缺失了些什么。
        一个令人震惊至极的惊天布局渐渐浮出水面，面对强大到无以复加的恐怖他应该如何应对？如何去寻找那一线破局的机会？
        葬煞纪元属于慢热烧脑型小说，开局铺垫较长，与一般的快餐文学背道而驰，呈现出的剧情绝对是越看越精彩，越看越有味。
(书友qq群1094671544)，全订的小伙伴进群领福利了。",升级 古典仙侠 热血 法宝,武侠·仙侠
74,修真界大高手在都市,1673,"少年姜寒因为招惹了校园恶少莫无忌被其派人殴打，并且因为激怒被派来的混混所以对方蓄意打断其手脚。

    但意外让少年头部受到重创。

    就在少年垂危之际，一块黑色的液体附在少年身上。

    突然醒来的少年已然不在是姜寒。而是被修仙界众多修士围攻逃到地球的修真者……

    修真者无名无姓，是个在修真界底层摸爬滚打无数年的修真界老油子。

    一次意外让他在古修士洞府中获得功法《冥海修罗功》。

    炼成此功的他可以吞噬修真者体内的灵气为自己所用，偶然获得力量修为暴增的他，开始大肆猎杀那些臭名昭著的修士为自己增加修为。

    他以为这样最起码能受到正道修士的保护。

    可没想到的是，正道之人同样觊觎他的功法，所以也开始追杀他。

    到最后，他爆发全力动用秘宝逃到了地球这个灵气几近于无的末法之地意图东山再起……",扮猪吃虎 丹药升级 重生 复仇,武侠·仙侠
75,浮仙令,1650,"（新书群1163366917）（浮仙令下午更新大结局，正式完本！）
仙，不辨正邪，不分黑白，不问是非，以众生为刍狗，苦求大道。
乱我道心者，应其善恶，圆其因果，灰灰了去。",仙侠 古典仙侠,武侠·仙侠
76,法宝修复专家,1643,"　　“专修各类法器、宝器，精修灵器、道器，只要你拿得出……就算是仙器也修给你看！！”
　　玩儿虚拟游戏时，林风带着刚学会的一项副职业技能穿越异界，在这强者无数的修真世界，得到逆天技能的小散修又能闯出怎么样的一段波澜壮阔的精彩人生呢？
（本书读者群【293127588】，欢迎加入。）",爽文 穿越 扮猪吃虎 修复,武侠·仙侠
77,一剑长安,1581,"（群号：926916903）大幕拉开，且看江湖刀光剑影，恩怨情仇。
看江湖少年，意气风发；
看老朽垂垂，不失风采；
看狂士儒生，放浪形骸！
我有一剑，去往长安，可保长治久安！
各位看官，且……看！",热血 升级 江湖 武侠,武侠·仙侠
78,一剑掌乾坤,1542,少年偶然获得大魔主赠送《造化真经》一部，此经不凡，开始修炼后，除死之外决不能回头。从此身陷局中，但也掐住了命运的脖颈，天堑变坦途。遇到敌人先卜一卦，可以趋吉避凶，左右逢源。更兼布局谋划，挖坑设陷，就算惹不起你难道还算不死你……正是——甘罗早发子牙迟，彭祖颜回寿不齐。蒯通潦倒石崇富，八字生来各有时。修真之路各个不同，逆天改命，勇猛精进固然是好，顺天应人，临时变通亦无不可。,搞笑 爽文 法宝 古典仙侠,武侠·仙侠
79,穿到天龙去修仙,1502,"一个小商人因着急送货而出了一场车祸，魂穿金庸天龙平行世界。
   真的有平行空间吗？这个世界有没有仙？通过武功是否可以求得长生？人力有时穷真的不能打破吗？求真之路是否会放弃一切？让我们重温经典一起跟着主角开启穿越之旅！",重生 穿越 爽文 生活,武侠·仙侠
80,一剑倾国,1487,燕离天生诅咒缠绕。他出生那一年，整个京都的修行者的佩剑自发向他朝拜。六岁那年家破人亡，他险死还生又跌入炼狱，当他从深渊爬上来的时候，命运在他眼前分开成两条毫不相干的平行线：一条埋葬仇恨，通往极乐彼岸；一条是不朽皇朝的废墟以及心爱女人的眼泪。PS:交流群：334086970,古典仙侠,武侠·仙侠
81,御剑问仙,1465,"出生最正宗的修仙门派，却因一粒“灵根丹”而惨遭灭门
受正宗排挤，邪魔外道围剿，被迫夹缝中求生存
因天阶功法而修得剑灵，却不幸沦为剑灵之奴
————————
我命由我，不由天，更不由人
挡者，御剑而已！",古典仙侠 剧情 修炼 派系纷争,武侠·仙侠
82,百转飞仙,1364,"道可道，非常道，
何为仙，仙道苍茫，真我难寻。
何为道，道海无涯，天无尽头。
天地不仁，以万物为刍狗，这芸芸众生，又有几人能够站在天地之巅，掌缘生灭，俯瞰众生？",古风 修仙 复仇 江湖,武侠·仙侠
83,浮沧录,1334,"北有大魏，南有齐梁。西夏东关浩瀚，南海北原苍莽。
四海之内，皆为江湖。
只因身负天缺绝症的小殿下北上要寻长生。
于是这片江湖，便不再太平。
聊天群【浮沧书盟】：559826111。
VIP群【莲阁】：549974786
微信公众号和微博：会摔跤的熊猫",文青 烽火戏诸侯 剑来 猫腻,武侠·仙侠
84,五仙门,1320,遥远的青山，偏僻的村落，平凡少年，只为生存，凡人生活却化作修仙之路，有谁是真，有谁是假？有谁能最后明月长伴！仙侠世界，从此开始。,古典仙侠 法宝 升级 凡人流,武侠·仙侠
85,师兄很妖孽,1318,"为师妹他怒斩妖兽，为红颜他雄霸大陆。
　　",异世 重生,武侠·仙侠
86,金刀侠,1297,金刀在手，纵横武林；江湖九杰，天下闻名,侠客 情义 正气,武侠·仙侠
87,梦主千秋,1291,当你发现你的梦境已经开始改变现实。甚至可以让人美梦成真，你会怎么选择，是去毁掉，还是好好保护它？他？她？当再锋利的剑也无法挽留梦中的一切，当再强的符咒也无济于事……,窃梦修行 古典仙侠,武侠·仙侠
88,汉灵昭烈,1262,"打虎上山，行侠入世，一代英雄聚念而生。
单臂挚天，双剑仗义，千年华夏因义流芳。

乱世出英雄，盛世盼侠客。时逢异世北宋末年，太平渐逝，国难将至，武松这位梁山好汉却已在六和寺归隐。

神秘访者的到来，让已经了却尘缘的打虎英雄不得已重开杀戒，也开启了一段新的传说。

武松的出世，是整个华夏文化对英雄的一种期待和认同，也是万众心念之火的一次喷薄而出。他作为一个虚构的英雄，将现身于华夏文明的历史性危机之中，力挽狂澜……

而武松的入世，也让贯穿于华夏文明历史中的华夷之辨再起波澜。

武松是谁？他为何而来？他又将为谁而战？一代汉灵入世，沧海下暗流涌动，乾坤里谁是英雄！",江湖 热血 新派武侠 英雄无敌,武侠·仙侠
89,苍莽仙途,1235,"小小少年背负期望拜入仙门，岂知一入山门深似海。
天赋一般，资质一般，如何在这漫漫仙路前行？",古典仙侠,武侠·仙侠
90,修真大福星,1235,"修真搞怪，诡计多端。
福星高照，运势逆天。
一次次的生死抉择，
一幕幕的爆笑人生，
他有了休戚与共的党羽，有了相濡与沫的爱人，
还有了宇宙间三百万年才会经历一次的捍卫战。
归藏令已出，
这一次
鹿死谁手",修仙 搞笑 励志 热血,武侠·仙侠
91,谪仙乱舞,1205,你相信这世上有神仙吗？我就是来凡间避难的神仙，由于技术失误，转世到凡间一个少年的身体中，可谁曾想这少年的来头比我更大！,热血 英雄无敌 爽文 搞笑,武侠·仙侠
92,在七扇门当差的日子,1175,六扇门开展江湖严打活动，导致盗圣门业务陷入寒冬。为解决这一难题，门主西门吹灯决定派闭门弟子苏犹在潜入六扇门，卷入了一场惊天阴谋之中。本书承接《行镖》，搞笑流武侠，绝不水文和太监。微信:sanguanyouzai 。交流群：296474023。公众平台：三观犹在,捕快 明朝 新派武侠 搞笑,武侠·仙侠
93,昆仑小师叔,1165,"方圆之内，妖魔不当。身前三尺，有我无敌。
天地之法，执行不怠。十年磨剑，仙道不孤。",爽文 热血 剑仙 古典仙侠,武侠·仙侠
94,贱人休走,1149,"【VIP红包群:945674934】
苦修三十载，终成金丹。
你特么居然说是肾结石，用伽马刀给我融了！？",爽文 热血 搞笑 穿越,武侠·仙侠
95,劫修传,1149,"身怀三件昊天之宝，看昔日金仙，如何历劫重修，成就无上大道
    历经五千年苦修，终达金仙之境，名列仙班，
    却因与魔界魁神争斗之际，误毁飞升之殿，遂遭九世轮回之劫，
    前七世或未长而夭，或凡体难修，如今这第九世，已是他最后的机会。
    或再踏仙修之道，或就此沉沦。长生之道，竟艰难如斯。",重生 古典仙侠 升级,武侠·仙侠
96,我有一刀断长生,1141,"天道之下，二十三圣齐聚。
徐天然意气风发，剑指苍天：“我看天道不爽很久了，那些个躲在仙家福地里活了千百年的老王八早就该死了。”
先生无奈道：“连我们一起骂了。”老白说道：“不过骂得对，咱们都是老王八。”
二十三圣齐断长生，天道湮灭。从此大道不长生，生老病死乃无上天道，天地灵力日渐稀薄，天下万民不以修行分贵贱。
书友群156717405",古典仙侠 长生 江湖 庙堂,武侠·仙侠
97,天道自在,1135,斩灭过去，不问未来，不信宿命，不求轮回。所谓仙，是真正超脱者。,古典仙侠 励志 修仙,武侠·仙侠
98,熔炼星宇,1129,"身份卑微的外门杂役阳天，一直被人看不起。
重生获得熔炼珠，从此强势崛起，超越高傲女神，吊打阴险对手。
逆伐仙神，纵横星宇。",爽文 装×打脸 升级 法宝,武侠·仙侠
99,自求吾道,1113,"混沌初开，鸿蒙气散，化九天十地。天地伊始，万象生机。然天地有灵，或人类、或鬼怪、或精灵……夺气运之大成者，位列天地之端。
    九天列九大天君，分为东方苍天、东北变天、北方玄天、西北幽天、西方皓天、西南朱天、南方炎天、东南阳天和中央钧天。十地呈十位人皇，依次是欢喜地、离垢地、发光地、焰慧地、现前地、远行地、不动地、善慧地、法云地、极难胜地。
    九天视十地为下界蝼民，行天之权力，罚任何妄图不敬之宵小。十地藐九天为束地之框，欲破天而立。是故天君临地，人皇踏天，终成亘古不变之宿命。",热血 古典仙侠 人生,武侠·仙侠
100,这人修炼太恐怖,1108,他被人割断双臂双脚，仍在尸陀林中，可他依然没有死，他生活的希望在哪里，这时他看到了转机。,爽文 升级 法宝 古典仙侠,武侠·仙侠
